compound_ids,canonical_smiles,measured_logS,cluster_id,split
m-Fluorobromobenzene,Fc1cccc(Br)c1,-2.67,75,train
p-Chlorobromobenzene,Clc1ccc(Br)cc1,-3.63,15,train
"2,3-Dimethylbutane",CC(C)C(C)C,-3.65,45,train
1-Butene,C=CCC,-1.94,27,train
"2,2',3,4,5,5'-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68,2,train
cytosine,Nc1cc[nH]c(=O)n1,-1.155,133,train
"1,1,2-Trichlorotrifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,-3.04,177,train
Propionitrile,CCC#N,0.28,145,train
"O,P'-DDD",Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51,201,train
o-Nitroanisole,COc1ccccc1[N+](=O)[O-],-1.96,29,train
Prasterone,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12,50,train
Procymidone,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-4.8,191,train
Benzo[ghi]perylene,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018,1,train
Dinoseb,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38,144,validation
meconin,COC1=C(OC)C2C(=O)OCC2C=C1,-1.899,310,test
Glycerol,OCC(O)CO,1.12,196,validation
Guaiacol|o-Methoxyphenol,COc1ccccc1O,-1.96,24,train
chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67,110,train
9-Methylanthracene,Cc1c2ccccc2cc2ccccc12,-5.89,1,train
Antipyrene,Cc1cc(=O)n(-c2ccccc2)n1C,0.715,125,train
Methyl butyl ether ,CCCCOC,-0.99,0,train
7-methylpteridine,Cc1cnc2cncnc2n1,-0.8540000000000001,72,train
simazine,CCNc1nc(Cl)nc(NCC)n1,-4.55,37,train
"N,N-Dimethylacetamide",CC(=O)N(C)C,1.11,176,test
Simetryn,CSc1nc(N(C)C)nc(N(C)C)n1,-2.676,189,validation
Ethylene,C=C,-0.4,309,validation
"3,3-Dimethyl-1-butanol",CC(C)(C)CCO,-0.5,143,train
5-Allyl-5-ethylbarbital,C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.614,17,train
"2,3,4-Trichlorophenol",Oc1ccc(Cl)c(Cl)c1Cl,-2.67,4,train
Anisole,COc1ccccc1,-1.85,48,train
chloropropylate,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,-4.53,85,train
aldosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-3.85,6,train
Difenoxuron,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.16,13,train
4-Ethyltoluene,CCc1ccc(C)cc1,-3.11,7,train
Diisopropylsulfide,CC(C)SC(C)C,-2.24,308,train
"1,3-Dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.29,9,train
Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,68,train
probarbital|5-Ethyl-5-isopropylbarbituric acid,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.1790000000000003,17,train
cortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.21,6,train
Metronidazole|Metranidazole,Cc1ncc([N+](=O)[O-])n1CCO,-1.24,307,test
p-Chloroaniline,Nc1ccc(Cl)cc1,-1.66,15,train
"2,2-Dimethylpentanol",CCCC(C)(C)CO,-1.52,74,train
Furane,c1ccoc1,-0.82,306,validation
Methoproptryne,COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928,87,validation
Norea,CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.1710000000000003,187,train
t-Butylbenzene ,CC(C)(C)c1ccccc1,-3.66,109,train
kebuzone,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27,141,train
prednisolone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.37,39,train
Methyl propyl ether ,CCCOC,-0.39,82,train
Isopropyl acetate,CC(=O)OC(C)C,-0.55,84,train
Bromobenzene,Brc1ccccc1,-2.55,5,train
Ethyl-p-hydroxybenzoate ,CCOC(=O)c1ccc(O)cc1,-2.35,20,train
3-Butanoyloxymethylphenytoin,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.071000000000001,61,train
testosterone propionate,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37,6,train
Coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-9.332,86,train
allopurinol,O=c1[nH]cnc2[nH]ncc12,-2.266,200,test
Chloroethylene,C=CCl,-1.75,305,train
diphenamid,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98,142,test
Tetrabromomethane,BrC(Br)(Br)Br,-3.14,304,test
RTI 22,CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21,-4.871,23,train
phthalimide,O=C1NC(=O)c2ccccc21,-2.61,121,train
Fenarimol,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38,303,validation
Methyl benzoate ,COC(=O)c1ccccc1,-1.85,10,train
1-methyluracil,Cn1ccc(=O)[nH]c1=O,-0.807,302,train
oxyphenbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.73,141,train
"2,2',3,5'-PCB",Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47,2,train
Quinethazone,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29,199,train
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8,13,train
Cyclopentene ,C1=CCCC1,-2.1,123,train
alloxantin,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99,46,train
Nonane,CCCCCCCCC,-5.88,0,train
2-Chlorophenol,Oc1ccccc1Cl,-1.06,4,train
5-Methylchrysene,Cc1cc2ccccc2c2ccc3ccccc3c12,-6.59,1,train
Phenetole,CCOc1ccccc1,-2.33,11,train
ethyl cinnamate,CCOC(=O)C=Cc1ccccc1,-3.0,20,train
Terbacil,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.484,301,test
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,-3.499,108,train
p-Toluenesulfonamide ,Cc1ccc(S(N)(=O)=O)cc1,-1.74,107,test
Chlorbufam,C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617,85,train
2-Methylheptane,CCCCCC(C)C,-5.08,0,train
Cyhalothrin,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.176,35,train
Apazone,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,-3.5380000000000003,300,validation
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.754,140,train
2-Methyl-3-pentanol,CCC(O)C(C)C,-0.7,14,train
fensulfothion,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.3,47,train
borneol,CC1(C)C2CCC1(C)C(O)C2,-2.32,299,train
Testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-4.02,6,train
Heptane,CCCCCCC,-4.53,0,train
1-Napthol,Oc1cccc2ccccc12,-2.22,1,train
"cis-1,2-Dimethylcyclohexane",CC1CCCCC1C,-4.3,96,train
Trimazosin,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-3.638,298,test
Cholanthrene,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,-7.85,1,train
Medrogestone,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27,106,train
2-Heptanone,CCCCCC(C)=O,-1.45,0,train
Acephate,COP(=O)(NC(C)=O)SC,0.54,297,validation
DEF,CCCCSP(=O)(SCCCC)SCCCC,-5.14,296,train
phthalamide,O=C1NC(=O)C2C=CC=CC12,-2.932,295,test
Trichlomethiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68,134,train
2-Methy-2-Butene,CC=C(C)C,-2.56,294,validation
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,-3.31,8,train
"2,4,5-Trichlorophenol ",Oc1cc(Cl)c(Cl)cc1Cl,-2.21,2,train
phenanthridine,c1ccc2c(c1)cnc1ccccc12,-2.78,1,train
3-Methyl-3-hexanol,CCCC(C)(O)CC,-0.98,26,train
Octane,CCCCCCCC,-5.24,0,train
Anthracene,c1ccc2cc3ccccc3cc2c1,-6.35,1,train
Phenylhydrazine,NNc1ccccc1,0.07,60,test
Propionaldehyde,CCC=O,0.58,69,train
Cyclooctane,C1CCCCCCC1,-4.15,105,train
"5,5-Diallylbarbital",C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.077,41,train
Trichloromethane,ClC(Cl)Cl,-1.17,45,train
thiouracil,O=c1ccnc(S)[nH]1,-2.273,293,train
Pencycuron,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,-5.915,13,train
1-Methylcyclohexene ,CC1=CCCCC1,-3.27,292,test
2-Ethylhexanal,CCCCC(C=O)CC,-2.13,25,train
Khellin,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-3.0210000000000004,198,test
Benzo(j)fluoranthene,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8.0,1,train
2-Ethylbutanal,CCC(C=O)CC,-1.52,197,validation
Dipropyl ether,CCCOCCC,-1.62,18,train
1-Tetradecanol,CCCCCCCCCCCCCCO,-5.84,0,train
"2,3,6-Trichlorophenol",Oc1c(Cl)ccc(Cl)c1Cl,-2.64,4,train
Urea,NC(N)=O,0.96,139,train
1-Pentyne,C#CCCC,-1.64,54,train
"1,3-Dibromobenzene",Brc1cccc(Br)c1,-3.54,42,train
1-Octadecanol,CCCCCCCCCCCCCCCCCCO,-8.4,0,train
Acetanilide,CC(=O)Nc1ccccc1,-1.33,10,train
hematein,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.7,291,validation
Isonazid,NNC(=O)c1ccncc1,0.009,290,train
hydroxychlordene,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46,80,train
Isopentyl formate,CC(C)CCOC=O,-1.52,62,train
Acetophenone,CC(=O)c1ccccc1,-1.28,10,train
biquinoline,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4,49,train
Triethyl phosphate,CCOP(=O)(OCC)OCC,0.43,289,test
D-fenchone,CC12CCC(C1)C(C)(C)C2=O,-1.85,288,validation
7-methoxypteridine,COc1cnc2cncnc2n1,-0.91,72,train
Chlordene,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.64,80,train
2-Nitropropane,CC(C)[N+](=O)[O-],-0.62,129,train
Carbazole,c1ccc2c(c1)[nH]c1ccccc12,-5.27,138,train
Erythritol,OCC(O)C(O)CO,0.7,196,validation
Risocaine,CCCOC(=O)c1ccc(N)cc1,-2.452,20,train
Azodrin,CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999,287,train
Succinimide,O=C1CCC(=O)N1,0.3,286,test
"2,3-Dimethylpentane",CCC(C)C(C)C,-4.28,14,train
bupirimate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.16,195,train
RTI 16,CCN1c2ncccc2C(=S)N(C)c2cccnc21,-4.634,23,train
RTI 9,CCN1C(=O)c2ccccc2Oc2ccccc21,-3.68,23,train
Tetrahydropyran ,C1CCOCC1,-0.03,194,test
1-Heptyne,C#CCCCCC,-3.01,0,train
osthole,COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.314,285,validation
3-Methylcholanthrene,Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1,-7.92,137,validation
Ethyl benzoate ,CCOC(=O)c1ccccc1,-2.32,20,train
1-Chloro-2-methylpropane,CC(C)CCl,-2.0,45,train
Ethinyl estradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3,50,train
methyl laurate,CCCCCCCCCCCC(=O)OC,-4.69,0,train
Di-n-propylsulfide,CCCSCCC,-2.58,284,train
Napthacene,c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6,1,train
1-Bromopentane,CCCCCBr,-3.08,0,train
trans-2-Heptene ,C/C=C/CCCC,-3.82,27,train
Pentylcyclopentane,CCCCCC1CCCC1,-6.08,128,train
"2,2',3,5,5',6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.42,2,train
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.0,136,train
Monolinuron,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,13,train
Cyclohexyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCCC2)C(=O)N1,-3.06,46,train
dimetan,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85,193,validation
4-Bromotoluene,Cc1ccc(Br)cc1,-3.19,7,train
Diethyl ether ,CCOCC,-0.09,82,train
Rovral,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.376,283,test
Benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.53,58,train
"2,4,6-Trimethylphenol",Cc1cc(C)c(O)c(C)c1,-2.05,73,validation
Benzene ,c1ccccc1,-1.64,282,validation
p-Chloroiodobenzene,Clc1ccc(I)cc1,-4.03,15,train
Metoxuron,COc1ccc(NC(=O)N(C)C)cc1Cl,-2.564,13,train
propachlor,CC(C)N(C(=O)CCl)c1ccccc1,-2.48,168,train
Styrene,C=Cc1ccccc1,-2.82,192,train
Dimethoxymethane,COCOC,0.48,281,train
o-Xylene ,Cc1ccccc1C,-2.8,8,train
Butan-2-ol,CCC(C)O,0.47,14,train
"1,4-Benzenediol",Oc1ccc(O)cc1,-0.17,7,train
estriol,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,-4.955,50,train
Benzo(b)fluorene,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04,78,train
hydantoin,O=C1CNC(=O)N1,-0.4,280,test
4-hexylresorcinol,CCCCCCc1ccc(O)cc1O,-2.59,279,validation
allicin,C=CCSS(=O)CC=C,-0.83,278,train
Coumaphos,CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1,-5.382000000000001,47,train
"5,6-Dimethylchrysene",Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-7.01,1,train
Betamethasone-17-valerate,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71,32,train
uric acid,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-3.93,277,test
"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1,19,train
"1,3-Dichlorobenzene",Clc1cccc(Cl)c1,-3.04,2,train
DDT,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.15,15,train
Isobutyl formate,CC(C)COC=O,-1.01,104,validation
thioanisole,CSc1ccccc1,-2.39,276,validation
RTI 13,CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21,-4.207,23,train
Hexane ,CCCCCC,-3.84,0,train
methyl nicotinate,COC(=O)c1cccnc1,-0.46,36,train
Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59,275,train
"2,3,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.82,40,train
Vinclozolin,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.925,191,train
Cyanazine,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15,37,train
Triphenylene,c1ccc2c(c1)c1ccccc1c1ccccc21,-6.726,1,train
Dienestrol,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95,7,train
Di(2-ethylhexyl)-phthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96,59,train
2-Ethyl pyridine,CCc1ccccn1,0.51,190,test
Naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28,274,test
Biphenyl,c1ccc(-c2ccccc2)cc1,-4.345,5,train
"2,2',4,4',6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-8.71,2,train
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,-3.364,189,validation
"2,4-Dimethyl-2-pentanol ",CC(C)CC(C)(C)O,-0.92,26,train
Cycloheptyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCCCC2)C(=O)N1,-3.168,46,train
Fructose,OCC1OC(O)(CO)C(O)C1O,0.64,70,train
"3,5-Dimethylphenol",Cc1cc(C)cc(O)c1,-1.4,7,train
Barban,O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.37,85,train
p-Chloroacetanilide,CC(=O)Nc1ccc(Cl)cc1,-2.843,10,train
"2,2',3,4,5,5',6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-8.94,2,train
"2,2-Dimethylbutane",CCC(C)(C)C,-3.55,26,train
N-Methylaniline ,CNc1ccccc1,-1.28,10,train
"1,4-Pentadiene ",C=CCC=C,-2.09,135,train
Hydrocortisone 21-acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88,6,train
DNOC,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-1.456,12,train
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,-3.604,108,train
3-Chlorophenol,Oc1cccc(Cl)c1,-0.7,16,train
m-Chlorobromobenzene,Clc1cccc(Br)c1,-3.21,16,train
chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.05,134,train
5-Methyl-5-ethylbarbituric acid,CCC1(C)C(=O)NC(=O)NC1=O,-1.228,17,train
2-Phenoxyethanol,OCCOc1ccccc1,-0.7,103,train
Diphenylmethane,c1ccc(Cc2ccccc2)cc1,-4.08,5,train
3-Octanol,CCCCCC(O)CC,-1.98,25,train
Flumetralin,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.78,58,train
Propazine,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43,37,train
2-Methylpentanol,CCCC(C)CO,-1.11,38,train
2-Methyl-2-hexanol,CCCCC(C)(C)O,-1.08,26,train
Ethylbenzene,CCc1ccccc1,-2.77,11,train
5-(3-Methyl-2-butenyl)-5-ethylbarbital,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.253,41,train
Heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.317,80,train
butallylonal,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.647,17,train
Fenpropathrin,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025,35,train
Methoprene,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19,273,validation
Ethyl propionate,CCOC(=O)CC,-0.66,3,train
Prometryn,CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1,37,train
Buturon,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9,13,train
"2,3-Dimethylnaphthalene",Cc1cc2ccccc2cc1C,-4.72,8,train
"2,4',5-PCB",Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25,2,train
"2,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.39,2,train
2-cyanoguanidine,N#CN=C(N)N,-0.31,272,train
Chloropicrin,O=[N+]([O-])C(Cl)(Cl)Cl,-2.0,271,test
"2,6-PCB",Clc1cccc(Cl)c1-c1ccccc1,-5.21,4,train
p-Methoxybenzaldehyde,COc1ccc(C=O)cc1,-1.49,48,train
4-Nitroacetanilide,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.692,9,train
Ethyl heptanoate,CCCCCCC(=O)OCC,-2.74,3,train
p-Hydroxyacetanilide,CC(=O)Nc1ccc(O)cc1,-1.03,10,train
indazole,c1ccc2[nH]ncc2c1,-2.16,270,validation
triamcinolone acetonide,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-4.31,32,train
guanine,Nc1nc2[nH]cnc2c(=O)[nH]1,-3.583,269,train
Methyl acetate,COC(C)=O,0.46,102,train
Stanolone,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,-4.743,6,train
1-Hexene-3-ol,C=CC(O)CCC,-0.59,101,test
norbormide,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,-3.931,268,test
Dibutyl ether ,CCCCOCCCC,-1.85,0,train
1-Dodecanol,CCCCCCCCCCCCO,-4.8,0,train
RTI 6,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21,-3.36,23,train
2-Methyl-2-pentanol,CCCC(C)(C)O,-0.49,26,train
Flucytosine,Nc1nc(=O)[nH]cc1F,-0.972,133,train
stadacaine,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,-3.84,132,test
2-Methyl-2-heptanol,CCCCCC(C)(C)O,-1.72,0,train
Hexamethylbenzene,Cc1c(C)c(C)c(C)c(C)c1C,-5.23,163,train
Thymol,Cc1ccc(C(C)C)c(O)c1,-2.22,131,train
Pteridine,c1cnc2ncncc2n1,0.02,72,train
Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.66,47,train
Methane,C,-0.9,267,validation
indoline,c1ccc2c(c1)CCN2,-1.04,266,train
1-Nitronapthalene,O=[N+]([O-])c1cccc2ccccc12,-3.54,1,train
3-Methyl-2-pentanone,CCC(C)C(C)=O,-0.67,84,train
isoguanine,Nc1nc(O)nc2nc[nH]c12,-3.401,158,train
bromadiolone,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,-4.445,130,train
Nitromethane,C[N+](=O)[O-],0.26,129,train
Triallate,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88,179,validation
"1,5-Hexadiene ",C=CCCC=C,-2.68,27,train
Indole,c1ccc2[nH]ccc2c1,-1.52,265,test
Androstenedione,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.69,6,train
1-Hexene,C=CCCCC,-3.23,27,train
Xipamide,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79,264,validation
Ethylcyclohexane,CCC1CCCCC1,-4.25,128,train
2-Nonanone,CCCCCCCC(C)=O,-2.58,0,train
Mebendazole,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,-3.88,263,train
Chloropham,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38,85,train
RTI 12,CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,-4.114,23,train
Carbaryl,CNC(=O)Oc1cccc2ccccc12,-3.224,30,train
Ethyne,C#C,0.29,262,test
"3,5-Dimethylpyridine",Cc1cncc(C)c1,0.38,188,test
"1,4-Cyclohexadiene",C1=CCC=CC1,-2.06,261,validation
Mecarbam,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518,68,train
1-Phenylethanol,CC(O)c1ccccc1,-0.92,63,train
"1,2-Dichloropropane",CC(Cl)CCl,-1.6,45,train
2-Ethyl-2-hexanal,CCCC=C(C=O)CC,-2.46,69,train
Disulfoton,CCOP(=S)(OCC)SCCSCC,-4.23,68,train
methyltestosterone acetate,CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.284,6,train
"2,4,6-PCB",Clc1ccc(-c2c(Cl)cccc2Cl)cc1,-6.14,4,train
difluron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.02,13,train
Triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46,2,train
diisooctyl phthalate,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-6.6370000000000005,59,train
Corticosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.24,6,train
"1,3,5-Trimethylbenzene ",Cc1cc(C)cc(C)c1,-3.4,31,train
dioctyl phthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-5.115,20,train
1-Pentadecanol,CCCCCCCCCCCCCCCO,-6.35,0,train
"2,2',6,6'-PCB",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39,4,train
"5,5-Dimethylbarbituric acid",CC1(C)C(=O)NC(=O)NC1=O,-1.742,17,train
2-Iodopropane,CC(C)I,-2.09,127,validation
"1,2-Dinitrobenzene",O=[N+]([O-])c1ccccc1[N+](=O)[O-],-3.1,9,train
3-Methyl-2-butanone,CC(=O)C(C)C,-0.12,84,train
Hexadecane,CCCCCCCCCCCCCCCC,-8.4,0,train
Tricyclazole,Cc1cccc2sc3nncn3c12,-2.07,260,train
2-Octanone,CCCCCCC(C)=O,-2.05,0,train
Methyl nonanoate,CCCCCCCCC(=O)OC,-3.38,0,train
"1,4-Difluorobenzene",Fc1ccc(F)cc1,-1.97,126,train
Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.676,259,test
Trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68,58,train
Ethanol,CCO,1.1,21,train
Cyclopentyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCC2)C(=O)N1,-2.349,46,train
Carbetamide,CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83,10,train
phenothrin,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24,35,train
Cycluron,CN(C)C(=O)NC1CCCCCCC1,-2.218,187,train
Mirex,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-6.8,186,test
1-Bromooctane,CCCCCCCCBr,-5.06,0,train
Benomyl,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,-4.883,258,validation
aminopyrine,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.364,125,train
3-Pentanol,CCC(O)CC,-0.24,14,train
p-Nitrotoluene,Cc1ccc([N+](=O)[O-])cc1,-2.49,9,train
4-Methylpentanol,CC(C)CCCO,-1.14,38,train
Norethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57,6,train
