compound_ids,canonical_smiles,measured_logS,scaffold,is_acyclic_scaffold,split
Fenoxycarb,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.7,c1ccc(Oc2ccccc2)cc1,False,train
acetyl sulfisoxazole,CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1,-3.59,O=S(Nc1ccno1)c1ccccc1,False,validation
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18,,True,train
1-Butanol,CCCCO,0.0,,True,train
Siduron,CC1CCCCC1NC(=O)Nc1ccccc1,-4.11,O=C(Nc1ccccc1)NC1CCCCC1,False,validation
"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,-4.48,c1ccccc1,False,train
Furfural,O=Cc1ccco1,-0.1,c1ccoc1,False,validation
3-Methylbutan-1-ol,CC(C)CCO,-0.51,,True,train
piperonal,O=Cc1ccc2c(c1)OCO2,-1.63,c1ccc2c(c1)OCO2,False,validation
2-Methylpropene,C=C(C)C,-2.33,,True,train
Benzaldehyde,O=Cc1ccccc1,-1.19,c1ccccc1,False,train
"2,3-Dimethyl-1,3-Butadiene",C=C(C)C(=C)C,-2.4,,True,train
Benfuracarb,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-4.71,c1ccc2c(c1)CCO2,False,validation
RTI 10,CN1C(=O)c2cccnc2Oc2ccccc21,-3.672,O=C1Nc2ccccc2Oc2ncccc21,False,train
Fluorene ,c1ccc2c(c1)Cc1ccccc1-2,-5.0,c1ccc2c(c1)Cc1ccccc1-2,False,test
Methylcyclohexane ,CC1CCCCC1,-3.85,C1CCCCC1,False,train
sulfaguanidine,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99,c1ccccc1,False,train
Methylparaben,COC(=O)c1ccc(O)cc1,-1.827,c1ccccc1,False,train
2-Methyltetrahydrofurane,CC1CCCO1,0.11,C1CCOC1,False,train
Santonin,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09,O=C1C=CC2CCC3CC(=O)OC3C2=C1,False,train
Salicin,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,c1ccc(OC2CCCCO2)cc1,False,validation
1-Iodopropane,CCCI,-2.29,,True,train
Ametryn,CCNc1nc(NC(C)C)nc(SC)n1,-3.04,c1ncncn1,False,train
1-Propanol,CCCO,0.62,,True,train
Hydroxyprogesterone-17a,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
2-Pentanol,CCCC(C)O,-0.29,,True,train
benzoin,O=C(c1ccccc1)C(O)c1ccccc1,-2.85,O=C(Cc1ccccc1)c1ccccc1,False,validation
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,-1.19,c1ccccc1,False,train
m-Chloronitrobenzene ,O=[N+]([O-])c1cccc(Cl)c1,-2.77,c1ccccc1,False,train
ampyrone,Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.624,O=c1cc[nH]n1-c1ccccc1,False,test
"2,2',4,5'-PCB",Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57,c1ccc(-c2ccccc2)cc1,False,train
"Hexachloro-1,3-butadiene",ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,,True,train
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0,c1ncncn1,False,train
3-Methyl-2-pentanol,CCC(C)CCO,-0.71,,True,train
2-methylpteridine,Cc1ncc2nccnc2n1,-0.12,c1cnc2ncncc2n1,False,train
Danazol,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.507000000000001,C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,False,train
1-Iodobutane,CCCCI,-2.96,,True,train
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.081,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,False,test
Benzyltrifluoride,FC(F)(F)c1ccccc1,-2.51,c1ccccc1,False,train
Dihexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,c1ccccc1,False,train
Dibenzothiophene,c1ccc2c(c1)sc1ccccc12,-4.38,c1ccc2c(c1)sc1ccccc12,False,train
"2,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.8,c1ccc(-c2ccccc2)cc1,False,train
"2,2',3,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01,c1ccc(-c2ccccc2)cc1,False,train
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.893,O=c1oc2ccccc2cc1Cc1ccccc1,False,train
hydrobenzoin,OC(c1ccccc1)C(O)c1ccccc1,-1.93,c1ccc(CCc2ccccc2)cc1,False,test
Dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,-1.66,c1ccccc1,False,train
Ethyl octanoate,CCCCCCCC(=O)OCC,-3.39,,True,train
Diethyldisulfide,CCSSCC,-2.42,,True,train
"1,2-Diethoxyethane ",CCOCCOCC,-0.77,,True,train
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,-5.56,c1ccccc1,False,train
p-benzidine,Nc1ccc(-c2ccc(N)cc2)cc1,-2.7,c1ccc(-c2ccccc2)cc1,False,train
1-Heptene,C=CCCCCC,-3.73,,True,train
Ethirimol,CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028,O=c1ccnc[nH]1,False,test
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,O=C1CC(=O)NC(=O)N1,False,train
o-Chloroaniline,Nc1ccccc1Cl,-1.52,c1ccccc1,False,train
3-Chloroanisole,COc1cccc(Cl)c1,-2.78,c1ccccc1,False,train
Pebulate,CCCCN(CC)C(=O)SCCC,-3.53,,True,train
Butyl acetate,CCCCOC=O,-1.37,,True,train
Prednisolone,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,False,train
Bromodichloromethane,ClC(Cl)Br,-1.54,,True,train
adrenosterone,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.48,O=C1C=C2CCC3C4CCC(=O)C4CC(=O)C3C2CC1,False,validation
p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,False,test
p-Hydroxybenzaldehyde ,O=Cc1ccc(O)cc1,-0.96,c1ccccc1,False,train
Bromomethane,CBr,-0.79,,True,train
Perfluidone,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8,O=S(=O)(c1ccccc1)c1ccccc1,False,validation
Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.839,O=c1oc2ccccc2cc1Cc1ccccc1,False,train
2-Ethylnaphthalene,CCc1ccc2ccccc2c1,-4.29,c1ccc2ccccc2c1,False,train
5-methylcytosine,Cc1c[nH]c(=O)nc1N,-1.4580000000000002,O=c1nccc[nH]1,False,validation
"2,3,4,5,6-PCB",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92,c1ccc(-c2ccccc2)cc1,False,train
benodanil,O=C(Nc1ccccc1)c1ccccc1I,-4.21,O=C(Nc1ccccc1)c1ccccc1,False,test
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.685,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,False,test
o-Fluorobromobenzene,Fc1ccccc1Br,-2.7,c1ccccc1,False,train
"2,4-Dichlorophenol ",Oc1ccc(Cl)cc1Cl,-1.55,c1ccccc1,False,train
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.291,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,False,train
piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16,O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,False,validation
3-Propanoyloxymethylphenytoin,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.907,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
Cyclopentane ,C1CCCC1,-2.64,C1CCCC1,False,train
o-Toluidine,Cc1ccccc1N,-2.21,c1ccccc1,False,train
Estragole,C=CCc1ccc(OC)cc1,-2.92,c1ccccc1,False,train
karbutilate,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,c1ccccc1,False,train
3-Methyl-1-Butene,C=CC(C)C,-2.73,,True,train
2-Hydroxypyridine,Oc1ccccn1,1.02,c1ccncc1,False,train
Ethane,CC,-1.36,,True,train
"1,2-Dichlorobenzene",Clc1ccccc1Cl,-3.05,c1ccccc1,False,train
mercaptobenzothiazole,Sc1nc2ccccc2s1,-3.18,c1ccc2scnc2c1,False,train
"2,2',3,3',4,4',5,5',6,6'-PCB",Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.6,c1ccc(-c2ccccc2)cc1,False,train
Methoxsalen,COc1c2occc2cc2ccc(=O)oc12,-3.664,O=c1ccc2cc3ccoc3cc2o1,False,test
Acetamide,CC(N)=O,1.58,,True,train
1-Methylnaphthalene,Cc1cccc2ccccc12,-3.7,c1ccc2ccccc2c1,False,train
Napropamide,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57,c1ccc2ccccc2c1,False,train
"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,-0.62,,True,train
Methyl pentanoate,CCCC(=O)OCC,-1.36,,True,train
Menadione,CC1=CC(=O)c2ccccc2C1=O,-3.03,O=C1C=CC(=O)c2ccccc21,False,test
Phenanthrene,c1ccc2c(c1)ccc1ccccc12,-5.26,c1ccc2c(c1)ccc1ccccc12,False,test
"2,4-Dimethylpyridine",Cc1ccnc(C)c1,0.38,c1ccncc1,False,train
1-Nonanol,CCCCCCCCCO,-3.01,,True,train
Dibromomethane,BrCBr,-1.17,,True,train
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,False,train
"2,6-Dimethylnaphthalene ",Cc1ccc2cc(C)ccc2c1,-4.89,c1ccc2ccccc2c1,False,train
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,-3.68,,True,train
nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22,,True,train
m-Nitroaniline,Nc1cccc([N+](=O)[O-])c1,-2.19,c1ccccc1,False,train
1-Chlorobutane,CCCCCl,-2.03,,True,train
triforine,O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19,C1=CNC=CN1,False,test
Fluridone,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.445,O=c1c(-c2ccccc2)c[nH]cc1-c1ccccc1,False,validation
6-aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2,c1ccc2c(c1)ccc1c3ccccc3ccc21,False,train
Estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.955,O=C1CCC2C1CCC1c3ccccc3CCC12,False,validation
RTI 17,CCN1c2ccccc2N(C)C(=S)c2cccnc21,-4.706,S=C1Nc2ccccc2Nc2ncccc21,False,test
"1,2-Propylene oxide",CC1CO1,-0.59,C1CO1,False,train
Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.796,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,train
"1,3-diethylthiourea",CCNC(=S)NCC,-1.46,,True,train
"2,3,5-Trichlorophenol",Oc1cc(Cl)cc(Cl)c1Cl,-2.67,c1ccccc1,False,train
Propyl propanoate,CCCCC(=O)OC,-1.34,,True,train
Aniline ,Nc1ccccc1,-0.41,c1ccccc1,False,train
"1,5-Dimethlnapthalene",Cc1cccc2c(C)cccc12,-4.678999999999999,c1ccc2ccccc2c1,False,train
hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.63,O=S1(=O)NCNc2ccccc21,False,test
Acenapthylene,C1=Cc2cccc3cccc1c23,-3.96,C1=Cc2cccc3cccc1c23,False,train
Ethyl butyrate,CCCCCOC(=O)CC,-1.28,,True,train
Atratone,CCNc1nc(NC(C)C)nc(OC)n1,-2.084,c1ncncn1,False,train
Benzo(a)pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.699,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,False,test
Bromoethane,CCBr,-1.09,,True,train
3-Hexyne,CCC#CCC,-1.99,,True,train
Digitoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.292999999999999,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,False,test
2-Methyl-1-Butene,C=C(C)CC,-2.73,,True,train
8-quinolinol,Oc1cccc2cccnc12,-2.42,c1ccc2ncccc2c1,False,test
"1,2,3,4-Tetrahydronapthalene",c1ccc2c(c1)CCCC2,-4.37,c1ccc2c(c1)CCCC2,False,validation
phenolphthalein,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,False,test
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,-5.6,c1ccccc1,False,train
Ronnel,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,c1ccccc1,False,train
methylthiouracil,Cc1cc(=O)[nH]c(=S)[nH]1,-2.436,O=c1cc[nH]c(=S)[nH]1,False,validation
Eugenol,C=CCc1ccc(O)c(OC)c1,-1.56,c1ccccc1,False,train
5-Allyl-5-isopropylbarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.7080000000000002,O=C1CC(=O)NC(=O)N1,False,train
Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-6.176,c1cc2ccc3cccc4ccc(c1)c2c34,False,train
"1,1-Diethoxyethane ",CCOC(C)OCC,-0.43,,True,train
Clomazone,CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338,O=C1CCON1Cc1ccccc1,False,validation
2-Butoxyethanol,CCCCOCCO,-0.42,,True,train
Quintozene,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82,c1ccccc1,False,train
Flurochloridone,O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1,-4.047,O=C1CCCN1c1ccccc1,False,train
Quinoline,c1ccc2ncccc2c1,-1.3,c1ccc2ncccc2c1,False,test
methyl gallate,COC(=O)c1cc(O)c(O)c(O)c1,-1.24,c1ccccc1,False,train
fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-1.8,c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,False,test
Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,-2.8310000000000004,O=c1[nH]c2ccccc2o1,False,train
"2,2',3,4,4',5',6-PCB",Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.92,c1ccc(-c2ccccc2)cc1,False,train
alloxan,O=C1NC(=O)C(=O)C(=O)N1,-1.25,O=C1NC(=O)C(=O)C(=O)N1,False,train
"1,3-Dichloropropane",ClCCCCl,-1.62,,True,train
m-Fluorobromobenzene,Fc1cccc(Br)c1,-2.67,c1ccccc1,False,train
p-Chlorobromobenzene,Clc1ccc(Br)cc1,-3.63,c1ccccc1,False,train
"2,3-Dimethylbutane",CC(C)C(C)C,-3.65,,True,train
1-Butene,C=CCC,-1.94,,True,train
"2,2',3,4,5,5'-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68,c1ccc(-c2ccccc2)cc1,False,train
cytosine,Nc1cc[nH]c(=O)n1,-1.155,O=c1nccc[nH]1,False,validation
"1,1,2-Trichlorotrifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,-3.04,,True,train
Propionitrile,CCC#N,0.28,,True,train
"O,P'-DDD",Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51,c1ccc(Cc2ccccc2)cc1,False,train
o-Nitroanisole,COc1ccccc1[N+](=O)[O-],-1.96,c1ccccc1,False,train
Prasterone,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12,O=C1CCC2C1CCC1C3CCCCC3=CCC21,False,test
Procymidone,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-4.8,O=C1C2CC2C(=O)N1c1ccccc1,False,validation
Benzo[ghi]perylene,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,False,test
Dinoseb,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38,c1ccccc1,False,train
meconin,COC1=C(OC)C2C(=O)OCC2C=C1,-1.899,O=C1OCC2C=CC=CC12,False,validation
Glycerol,OCC(O)CO,1.12,,True,train
Guaiacol|o-Methoxyphenol,COc1ccccc1O,-1.96,c1ccccc1,False,train
chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67,c1ccncc1,False,train
9-Methylanthracene,Cc1c2ccccc2cc2ccccc12,-5.89,c1ccc2cc3ccccc3cc2c1,False,train
Antipyrene,Cc1cc(=O)n(-c2ccccc2)n1C,0.715,O=c1cc[nH]n1-c1ccccc1,False,test
Methyl butyl ether ,CCCCOC,-0.99,,True,train
7-methylpteridine,Cc1cnc2cncnc2n1,-0.8540000000000001,c1cnc2ncncc2n1,False,train
simazine,CCNc1nc(Cl)nc(NCC)n1,-4.55,c1ncncn1,False,train
"N,N-Dimethylacetamide",CC(=O)N(C)C,1.11,,True,train
Simetryn,CSc1nc(N(C)C)nc(N(C)C)n1,-2.676,c1ncncn1,False,train
Ethylene,C=C,-0.4,,True,train
"3,3-Dimethyl-1-butanol",CC(C)(C)CCO,-0.5,,True,train
5-Allyl-5-ethylbarbital,C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.614,O=C1CC(=O)NC(=O)N1,False,train
"2,3,4-Trichlorophenol",Oc1ccc(Cl)c(Cl)c1Cl,-2.67,c1ccccc1,False,train
Anisole,COc1ccccc1,-1.85,c1ccccc1,False,train
chloropropylate,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,-4.53,c1ccc(Cc2ccccc2)cc1,False,train
aldosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-3.85,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
Difenoxuron,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.16,c1ccc(Oc2ccccc2)cc1,False,train
4-Ethyltoluene,CCc1ccc(C)cc1,-3.11,c1ccccc1,False,train
Diisopropylsulfide,CC(C)SC(C)C,-2.24,,True,train
"1,3-Dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.29,c1ccccc1,False,train
Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,,True,train
probarbital|5-Ethyl-5-isopropylbarbituric acid,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.1790000000000003,O=C1CC(=O)NC(=O)N1,False,train
cortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.21,O=C1C=C2CCC3C4CCCC4CC(=O)C3C2CC1,False,validation
Metronidazole|Metranidazole,Cc1ncc([N+](=O)[O-])n1CCO,-1.24,c1c[nH]cn1,False,validation
p-Chloroaniline,Nc1ccc(Cl)cc1,-1.66,c1ccccc1,False,train
"2,2-Dimethylpentanol",CCCC(C)(C)CO,-1.52,,True,train
Furane,c1ccoc1,-0.82,c1ccoc1,False,validation
Methoproptryne,COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928,c1ncncn1,False,train
Norea,CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.1710000000000003,C1CC2C3CCC(C3)C2C1,False,test
t-Butylbenzene ,CC(C)(C)c1ccccc1,-3.66,c1ccccc1,False,train
kebuzone,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,False,train
prednisolone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.37,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,False,train
Methyl propyl ether ,CCCOC,-0.39,,True,train
Isopropyl acetate,CC(=O)OC(C)C,-0.55,,True,train
Bromobenzene,Brc1ccccc1,-2.55,c1ccccc1,False,train
Ethyl-p-hydroxybenzoate ,CCOC(=O)c1ccc(O)cc1,-2.35,c1ccccc1,False,train
3-Butanoyloxymethylphenytoin,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.071000000000001,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
testosterone propionate,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
Coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-9.332,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,False,validation
allopurinol,O=c1[nH]cnc2[nH]ncc12,-2.266,O=c1[nH]cnc2[nH]ncc12,False,test
Chloroethylene,C=CCl,-1.75,,True,train
diphenamid,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98,c1ccc(Cc2ccccc2)cc1,False,train
Tetrabromomethane,BrC(Br)(Br)Br,-3.14,,True,train
RTI 22,CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21,-4.871,O=C1Nc2ccccc2Nc2ncccc21,False,validation
phthalimide,O=C1NC(=O)c2ccccc21,-2.61,O=C1NC(=O)c2ccccc21,False,validation
Fenarimol,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38,c1ccc(C(c2ccccc2)c2cncnc2)cc1,False,validation
Methyl benzoate ,COC(=O)c1ccccc1,-1.85,c1ccccc1,False,train
1-methyluracil,Cn1ccc(=O)[nH]c1=O,-0.807,O=c1cc[nH]c(=O)[nH]1,False,train
oxyphenbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.73,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,False,train
"2,2',3,5'-PCB",Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47,c1ccc(-c2ccccc2)cc1,False,train
Quinethazone,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29,O=C1NCNc2ccccc21,False,validation
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8,c1ccccc1,False,train
Cyclopentene ,C1=CCCC1,-2.1,C1=CCCC1,False,train
alloxantin,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99,O=C1NC(=O)C(C2C(=O)NC(=O)NC2=O)C(=O)N1,False,validation
Nonane,CCCCCCCCC,-5.88,,True,train
2-Chlorophenol,Oc1ccccc1Cl,-1.06,c1ccccc1,False,train
5-Methylchrysene,Cc1cc2ccccc2c2ccc3ccccc3c12,-6.59,c1ccc2c(c1)ccc1c3ccccc3ccc21,False,train
Phenetole,CCOc1ccccc1,-2.33,c1ccccc1,False,train
ethyl cinnamate,CCOC(=O)C=Cc1ccccc1,-3.0,c1ccccc1,False,train
Terbacil,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.484,O=c1cc[nH]c(=O)[nH]1,False,train
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,-3.499,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,train
p-Toluenesulfonamide ,Cc1ccc(S(N)(=O)=O)cc1,-1.74,c1ccccc1,False,train
Chlorbufam,C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617,c1ccccc1,False,train
2-Methylheptane,CCCCCC(C)C,-5.08,,True,train
Cyhalothrin,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.176,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,False,train
Apazone,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,-3.5380000000000003,O=C1CC(=O)N2c3ccccc3N=CN12,False,validation
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.754,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,train
2-Methyl-3-pentanol,CCC(O)C(C)C,-0.7,,True,train
fensulfothion,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.3,c1ccccc1,False,train
borneol,CC1(C)C2CCC1(C)C(O)C2,-2.32,C1CC2CCC1C2,False,train
Testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-4.02,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
Heptane,CCCCCCC,-4.53,,True,train
1-Napthol,Oc1cccc2ccccc12,-2.22,c1ccc2ccccc2c1,False,train
"cis-1,2-Dimethylcyclohexane",CC1CCCCC1C,-4.3,C1CCCCC1,False,train
Trimazosin,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-3.638,c1ccc2nc(N3CCNCC3)ncc2c1,False,test
Cholanthrene,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,-7.85,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,False,test
Medrogestone,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,False,train
2-Heptanone,CCCCCC(C)=O,-1.45,,True,train
Acephate,COP(=O)(NC(C)=O)SC,0.54,,True,train
DEF,CCCCSP(=O)(SCCCC)SCCCC,-5.14,,True,train
phthalamide,O=C1NC(=O)C2C=CC=CC12,-2.932,O=C1NC(=O)C2C=CC=CC12,False,train
Trichlomethiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68,O=S1(=O)NCNc2ccccc21,False,test
2-Methy-2-Butene,CC=C(C)C,-2.56,,True,train
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,-3.31,c1ccccc1,False,train
